Date,Node hierarchy,Node Path,Board Id,Username,Rank,Role,valuesurvey.communityexperience.question.purpose,valuesurvey.communityexperience.question.helpful,valuesurvey.communityexperience.question.yes_then,valuesurvey.communityexperience.question.no_then,valuesurvey.communityexperience.question.purchase,valuesurvey.communityexperience.question.recommend,valuesurvey.communityexperience.question.feedback,Attributes,Sentiment
1/31/2021 22:20,,/1/,,Kelvin6291,New-in-Town ✪,,other,no,,store,online,8,,Unspecified Comment,Unspecified Comment
1/31/2021 8:47,,/1/,,Amin756,New-in-Town ✪,,other,no,,another,online,1,slow,Network and Services,Unspecified Comments
1/31/2021 7:30,myunifi App | How do I login with a digitalme profile? | How do I login with a digitalme profile?,/1/2/66/291/,291.0,mahniboeng,New-in-Town ✪,,info,no,,back,offline,10,Satisfaction,Unspecified Comments,Unspecified Comments
1/31/2021 3:48,billing | How to read my first unifi Mobile bill? | How to read my first unifi Mobile bill?,/1/2/66/227/243/245/,245.0,Azroy65,New-in-Town ✪,,use,yes,support,,no,8,,Unspecified Comment,Unspecified Comment
1/30/2021 16:06,unifi TV | cannot view unifi play tv via unifi plus box | cannot view unifi play tv via unifi plus box,/1/2/31/215/218/,218.0,Faizah00,Contributing Citizen ✪,,info,no,,support,no,5,,Unspecified Comment,Unspecified Comment
1/30/2021 12:20,,/1/,,nigel94rich,Contributing Citizen ✪,,info,yes,support,,online,10,"I believe that UNIFI can upgrade their speed at all locations.... Because at my place, the internet connection sometimes unavailable for a day or two, which is really frustrating",Network and Services,negative
1/30/2021 9:50,coverage | Which areas are under unifi coverage? | Which areas are under unifi coverage?,/1/2/66/186/190/198/,198.0,U-3842953,New-in-Town ✪,,info,no,,support,no,8,Because of the fast response but I want the fast solution also.,Responsiveness,negative
1/30/2021 2:50,unifi mobile | Switch to unifi Mobile FAQ - Must Read! | Switch to unifi Mobile FAQ - Must Read!,/1/2/31/215/217/,217.0,_Arid_,New-in-Town ✪,,info,no,,support,online,6,,Unspecified Comment,Unspecified Comment
1/29/2021 15:21,,/1/,,Nnuha,New-in-Town ✪,,other,yes,back,,online,5,,Unspecified Comment,Unspecified Comment
1/29/2021 14:27,bill payment | Where can I pay my unifi Mobile bills? | Where can I pay my unifi Mobile bills?,/1/2/66/227/243/251/,251.0,[anonymous],,,other,yes,other,,online,10,very nice service,Network and Services,Unspecified Comments
1/29/2021 11:44,plan | I can't use my SIM card. What do I need to do? | I can't use my SIM card. What do I need to do?,/1/2/66/227/228/229/,229.0,norfadhilah,New-in-Town ✪,,use,no,,support,online,10,,Unspecified Comment,Unspecified Comment
1/29/2021 6:37,unifi home broadband | May i know unifi air is supported by tp link mr200 or not? | May i know unifi air is supported by tp link mr200 or not?,/1/2/31/215/216/,216.0,rain133mhz,New-in-Town ✪✪,,use,no,,another,no,0,"I have raised a case, talked to agent and surf the community and it doesnt end the issue.",Crowd Sourcing and Content,negative
1/29/2021 6:04,self-care | How do I register to Self-Care? | How do I register to Self-Care?,/1/2/66/227/259/261/,261.0,desmpw,New-in-Town ✪,,info,yes,support,,online,8,good service,Network and Services,Unspecified Comments
